iter	RMSE
0	1.419805124
1	1.158858465
2	1.008406739
3	0.9349354055
4	0.8903308852
5	0.8651635596
6	0.8434936551
7	0.8246097187
8	0.8148555407
9	0.8042166652
10	0.7912758652
11	0.7850755296
12	0.772299226
13	0.7631277672
14	0.7509737766
15	0.7422807443
16	0.7344333899
17	0.7255440472
18	0.7157677461
19	0.7089872452
20	0.7007683866
21	0.694895341
22	0.6879332498
23	0.6807324437
24	0.6696518003
25	0.6648335529
26	0.6549640238
27	0.6485174464
28	0.6444881084
29	0.6385896099
30	0.6331326099
31	0.6272211039
32	0.6182914153
33	0.6096660607
34	0.6042389272
35	0.5975284946
36	0.5900395851
37	0.5850952887
38	0.5793481499
39	0.5724551623
40	0.5666652599
41	0.5597503708
42	0.5549980473
43	0.5489475418
44	0.5441627442
45	0.5393524637
46	0.5365783082
47	0.5331075873
48	0.5289717745
49	0.5271330594
50	0.5229324211
51	0.5193188506
52	0.5156915536
53	0.5123537839
54	0.5092039444
55	0.504623228
56	0.502716104
57	0.49943141
58	0.4957227681
59	0.4932801255
60	0.4894256833
61	0.4858340689
62	0.4832955028
63	0.47986072
64	0.4773805031
65	0.474021132
66	0.4725551291
67	0.4704788948
68	0.4649387699
69	0.4620072342
70	0.4600265411
71	0.4580318201
72	0.4551773619
73	0.4525352173
74	0.4506658877
75	0.4442161699
76	0.4415842558
77	0.4392722181
78	0.4366715044
79	0.4337676468
80	0.4309663479
81	0.4288787353
82	0.4253100252
83	0.4212529095
84	0.4199262405
85	0.4175774042
86	0.4150555182
87	0.4124613813
88	0.4103312496
89	0.4062808916
90	0.4036251546
91	0.4018176844
92	0.3995724133
93	0.3970926945
94	0.3942442898
95	0.3924010113
96	0.3897424449
97	0.3880389466
98	0.3854705903
99	0.3839677358
100	0.3826289923
