iter	Passed	Remaining
0	258	25832
1	346	17147
2	449	14679
3	554	13451
4	660	12687
5	755	11960
6	900	12097
7	1025	11919
8	1154	11797
9	1297	11806
10	1446	11835
11	1567	11626
12	1695	11474
13	1841	11443
14	2005	11497
15	2211	11746
16	2476	12235
17	2662	12275
18	2825	12195
19	2991	12115
20	3166	12063
21	3330	11961
22	3461	11739
23	3604	11565
24	3742	11376
25	3876	11182
26	4007	10982
27	4137	10787
28	4274	10612
29	4428	10480
30	4577	10337
31	4728	10196
32	4865	10025
33	5024	9900
34	5168	9746
35	5342	9645
36	5514	9538
37	5680	9418
38	5816	9247
39	5966	9099
40	6123	8961
41	6254	8786
42	6396	8628
43	6539	8472
44	6682	8315
45	6814	8147
46	6927	7959
47	7045	7779
48	7163	7602
49	7290	7436
50	7422	7276
51	7555	7119
52	7690	6965
53	7806	6794
54	7929	6632
55	8081	6494
56	8207	6335
57	8347	6188
58	8471	6030
59	8599	5876
60	8765	5747
61	9009	5666
62	9219	5560
63	9359	5410
64	9515	5270
65	9672	5129
66	9812	4979
67	9962	4834
68	10120	4693
69	10301	4561
70	10573	4467
71	10798	4349
72	10967	4206
73	11131	4061
74	11255	3902
75	11388	3746
76	11511	3588
77	11644	3433
78	11769	3277
79	11920	3129
80	12050	2975
81	12172	2820
82	12290	2665
83	12402	2509
84	12518	2356
85	12632	2203
86	12750	2051
87	12853	1898
88	12957	1747
89	13100	1601
90	13227	1453
91	13364	1307
92	13483	1159
93	13650	1016
94	13764	869
95	13870	722
96	13972	576
97	14063	430
98	14159	286
99	14251	142
100	14344	0
